,2002年1月26日,1,2,3,,,
,,張金溫,陳昆第,黃奕炘*,,,
,,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金沙鎮,汶沙里,629,186,551,1366,20,1984
金沙鎮,三山里,98,134,239,471,7,727
金沙鎮,大洋里,91,75,132,298,6,452
金沙鎮,光前里,121,129,277,527,11,822
金沙鎮,何斗里,90,234,193,517,12,772
金沙鎮,西園里,85,90,189,364,3,567
金沙鎮,官嶼里,167,118,159,444,8,727
金沙鎮,浦山里,124,306,168,598,17,866
