,2014年11月29日,1,2,,,
,,蔡永富*,陳金城,,,
,,中國國民黨,無,有效票,無效票,選舉人數
烏坵鄉,大坵村,129,21,150,2,234
烏坵鄉,小坵村,97,92,189,5,255
