,1998年1月24日,1,2,3,,,
,,蔡福祿#,陳永財,陳福海*,,,
,,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金湖鎮,新市里,258,541,585,1384,34,1636
金湖鎮,山外里,281,319,331,931,22,1135
金湖鎮,正義里,146,340,131,617,34,780
金湖鎮,料羅里,104,150,183,437,17,513
金湖鎮,瓊林里,569,123,132,824,24,1063
金湖鎮,新湖里,178,326,577,1081,17,1295
金湖鎮,溪湖里,120,154,125,399,15,498
金湖鎮,蓮庵里,98,155,128,381,9,499
