金湖鎮選區︱無完整選舉資料，僅列出當選人名單及得票數。,1990年1月20日,✓,✓,✓,✓,✓,,,
5,,蔡水游*,李錫吉*,陳再權*,陳恩賜*,楊淑媛*,,,
,,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金湖鎮,總計,585,558,476,458,232,-,-,-
