第4選區（金寧鄉）︱無完整選舉資料，僅列出當選人名單及得票數。,1994年1月29日,✓,✓,✓,,,
3,,許建中*,賴育千*,楊永立*,,,
,,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金寧鄉,總計,412,397,493,-,-,-
