烈嶼鄉選區︱無完整選舉資料，僅列出當選人名單及得票數。,1990年1月20日,✓,✓,,,
2,,林登惠*,林金量*,,,
,,中國國民黨,中國國民黨,有效票,無效票,選舉人數
烈嶼鄉,總計,736,571,-,-,-
