第2選區（金湖鎮）︱無完整選舉資料，僅列出當選人名單及得票數。,1994年1月29日,✓,✓,✓,✓,,,
4,,楊淑媛*,陳福海*,陳恩賜*,李成義*,,,
,,中國國民黨,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金湖鎮,總計,451,585,612,653,-,-,-
