,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,,,
16,,翁伸金,莊良時*,王文標,趙瑞英#,李成義*#,楊永立*#,林金量,許玉昭*!,石兆緡,陳天成,張光海*#,李和平,董東漢*,王水彰,謝宜璋*,楊紫玫,李沃士,王再生#,洪成發*,翁國得,洪允典*,蔡水游*,李正騰,陳水木*,賴育茜*!#,歐陽彥木#,李有忠,李昭明,洪肇基,陳溢富,洪振輝,翁明志,陳恩賜*#,林榮輝*,陳滄江,陳丕陽,許建中*#,陳膺天,許慧新,李九六,周水土,陳應龍,許勵宏,陳水賜*#,,,
,,中國國民黨,中國國民黨,無,無,中國國民黨,中國國民黨,中國國民黨,中國國民黨,新黨,中國國民黨,中國國民黨,中國國民黨,無,中國國民黨,無,無,新黨,中國國民黨,中國國民黨,中國國民黨,無,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,新黨,新黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,新黨,中國國民黨,中國國民黨,無,中國國民黨,無,中國國民黨,無,新黨,無,有效票,無效票,選舉人數
金沙鎮,大洋里,2,18,0,14,7,0,3,6,1,6,24,1,19,25,10,4,1,9,3,5,5,9,0,15,0,15,0,0,0,0,0,3,3,33,5,0,25,0,5,1,7,1,0,7,292,3,385
金沙鎮,光前里,3,16,5,0,13,2,2,16,2,6,25,0,5,35,8,0,12,50,1,13,10,22,0,23,1,31,6,41,1,0,1,9,6,32,8,1,30,0,4,0,28,1,1,36,506,8,664
金沙鎮,何斗里,3,32,10,4,28,6,0,5,3,5,58,0,6,39,9,4,2,25,1,11,7,33,1,39,8,11,5,0,0,1,0,2,26,22,6,2,43,0,2,1,34,3,1,18,516,15,654
金沙鎮,西園里,5,33,2,8,10,1,0,14,0,1,35,3,3,28,1,5,14,37,4,0,12,14,0,19,1,5,3,0,1,0,0,1,17,26,3,2,18,7,7,0,11,5,4,7,367,7,485
金沙鎮,官嶼里,2,31,0,1,6,24,0,9,2,0,176,4,12,15,5,0,5,11,0,4,6,16,1,12,1,7,10,1,0,0,5,1,3,9,3,2,11,0,0,0,11,0,0,16,422,10,603
金沙鎮,浦山里,7,52,1,2,22,6,3,9,2,4,32,0,5,85,10,3,8,10,6,13,5,22,0,13,13,7,6,0,0,2,0,6,8,71,2,1,15,0,11,0,99,1,3,10,575,17,749
烈嶼鄉,上岐村,2,3,8,2,14,0,42,5,0,2,9,2,1,0,2,0,2,1,91,1,270,11,0,13,0,4,1,0,66,2,73,2,6,0,1,0,11,1,1,0,12,0,0,1,662,13,829
烈嶼鄉,上林村,1,9,0,0,6,3,119,1,0,3,1,0,0,0,2,0,0,1,49,0,70,2,0,6,1,4,0,0,5,0,15,1,0,1,1,0,1,0,0,0,4,0,0,1,307,9,402
烈嶼鄉,西口村,1,40,1,1,14,2,117,6,0,6,6,3,1,3,2,1,4,0,89,0,71,10,0,3,0,2,1,0,8,5,11,3,1,4,0,3,1,0,0,0,3,0,4,3,430,20,620
烈嶼鄉,林湖村,3,34,6,3,31,1,369,8,2,6,5,2,3,5,4,2,4,6,97,4,114,8,1,7,0,4,6,0,1,3,22,2,8,1,3,7,16,1,3,0,7,0,2,3,814,18,1011
烈嶼鄉,黃埔村,0,1,1,0,9,0,25,0,0,0,4,0,0,0,1,0,2,0,251,2,17,0,0,0,1,0,0,0,1,0,4,0,0,4,1,1,2,0,2,0,4,0,0,2,335,3,420
烏坵鄉,大坵村,0,0,0,1,1,1,0,1,0,0,1,0,2,1,5,0,0,1,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,1,0,0,1,29,29,98
