,2014年11月29日,1,2,3,4,5,6,7,8,9,10,11,,,
,,李開陣*#,辛愛華*#,林金月*,翁文雅#,莊振興,陳成泉*#,陳菁芬,楊水信*#,陳秀金*,李正騰*#,翁明惠*,,,
,,中國國民黨,中國國民黨,無,無,中國國民黨,中國國民黨,無,中國國民黨,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金寧鄉,古寧村,275,22,41,16,22,12,10,24,20,170,15,627,29,1497
金寧鄉,古寧村,287,8,9,10,8,12,4,9,15,164,11,537,20,1328
金寧鄉,安美村,87,75,50,19,201,21,11,26,298,84,38,910,48,2086
金寧鄉,安美村,49,150,84,45,44,98,12,61,40,41,52,676,33,1447
金寧鄉,湖埔村,31,56,146,66,32,37,9,373,38,52,17,857,26,1821
金寧鄉,湖埔村,126,124,92,55,47,421,43,113,70,79,75,1245,61,2724
金寧鄉,榜林村,172,104,156,72,61,65,72,181,82,126,68,1159,60,2648
金寧鄉,榜林村,54,57,80,70,66,24,56,53,47,34,45,586,38,1572
金寧鄉,盤山村,54,246,41,189,34,91,37,49,37,39,207,1024,40,2378
金寧鄉,盤山村,98,124,137,81,93,78,101,121,80,70,181,1164,117,2833
金寧鄉,后盤村,46,13,29,76,15,75,30,56,34,104,49,527,28,1279
