,2014年11月29日,1,2,3,4,5,,,
,,蔡福春#,李毅強,黃金揚*,蔡金照*#,陳興坵*,,,
,,無,無,無,無,中國國民黨,有效票,無效票,選舉人數
烏坵鄉,大坵村,13,14,19,52,53,151,1,234
烏坵鄉,小坵村,2,14,67,63,47,193,1,255
