,2010年6月12日,1,2,3,4,5,6,7,8,9,10,11,12,13,,,
7,,陳成泉*,蔡惠美,翁文雅*#,辛愛華*#,許金冠,莊振興,李正騰*#,李開陣*#,林信和,許鐵民,陳延昇,楊萬山*,楊水信*#,,,
,,中國國民黨,無,無,中國國民黨,無,中國國民黨,中國國民黨,中國國民黨,無,中國國民黨,無,無,中國國民黨,有效票,無效票,選舉人數
金寧鄉,,628,141,687,565,152,53,639,750,24,163,516,770,593,5681,120,14085
