,1989年12月2日,1,2,3,4,,,
,,陳永財,黃武仁*#,楊成家,翁明志,,,
,,中國國民黨,中國國民黨,中國國民黨,民主進步黨,有效票,無效票,選舉人數
金門縣,總計,2109,10736,6463,560,19868,508,24296
,,,,,,,,
