,,1,2,3,4,5,,,
2,,洪麗萍*#,洪輝榮,林金量#,呂俊龍,洪鴻斌*,,,
,,中國國民黨,無,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
烈嶼鄉,林湖村,181,53,197,34,146,611,15,1303
烈嶼鄉,林湖村,173,56,172,31,233,665,19,1596
烈嶼鄉,黃埔村,119,40,127,25,269,580,17,1328
烈嶼鄉,西口村,213,72,196,220,262,963,33,2089
烈嶼鄉,上林村,79,28,122,28,231,488,23,1229
烈嶼鄉,上岐村,276,72,81,20,636,1085,16,2419
