,2018年11月24日,1,2,3,,,
,,洪燕玉,洪若珊*,林金量,,,
,,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
烈嶼鄉,林湖村,197,320,270,787,12,1594
烈嶼鄉,林湖村,242,289,134,665,8,1679
烈嶼鄉,黃埔村,205,296,168,669,13,1580
烈嶼鄉,西口村,182,241,61,484,6,1262
烈嶼鄉,西口村,112,206,67,385,11,1067
烈嶼鄉,上林村,193,242,130,565,15,1374
烈嶼鄉,上岐村,150,364,52,566,9,1376
烈嶼鄉,上岐村,221,295,41,557,7,1384
