,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,,,
17,,楊財祥,許建中*#,張慧玲,洪麗萍*,楊重城,王國代,許華玉*!,林水泉,張君玉,朱吉龍,莊良時*#,翁明堆,高丹華,王再生*,林茂林,周志文,趙詩姿,許玉昭*#,陳永財,王水彰,倪振金,董東漢*#,謝宜璋*#,張光海*#,陳水賜#,洪成發*#,吳成宗,石兆緡,陳怡利,翁伸金,林梅雀,章玉蘭,高春美,王彬彬,陳清煌,李沃士*,翁恆忠,辛愛華,沈炎平,蔡水游*#,洪允典*#,李錫民,許永鎮*,孫惠文,陳恩賜*#,賴育茜#,陳玉珍*,楊應雄*,,,
,,民主進步黨,中國國民黨,無,中國國民黨,無,民主進步黨,中國國民黨,無,中國國民黨,無,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,無,親民黨,無,中國國民黨,無,中國國民黨,無,無,無,無,無,中國國民黨,中國國民黨,無,中國國民黨,新黨,親民黨,親民黨,無,無,無,中國國民黨,無,無,無,無,無,新黨,有效票,無效票,選舉人數
金沙鎮,汶沙里,27,57,11,22,12,6,18,2,6,1,55,5,1,159,3,3,1,65,8,137,7,24,54,207,33,22,14,8,10,8,11,3,7,0,18,33,3,3,11,31,18,1,34,11,20,10,23,133,1356,32,1987
金沙鎮,三山里,5,5,6,8,0,3,1,2,5,0,12,0,0,35,0,1,1,40,6,51,0,20,37,31,2,12,4,10,0,6,2,0,3,2,4,43,0,1,1,13,5,2,27,0,8,1,11,47,473,8,730
金沙鎮,大洋里,4,17,1,2,0,2,1,0,0,0,4,0,0,15,0,0,1,10,2,21,0,9,14,16,13,8,75,2,0,2,2,0,0,0,1,10,0,1,4,4,8,0,14,4,6,2,20,5,300,8,456
金沙鎮,光前里,7,39,5,8,2,8,7,1,7,0,15,3,1,24,0,0,0,30,1,36,3,24,27,52,19,8,9,2,1,1,2,1,1,4,7,14,5,2,1,16,17,0,18,1,21,5,50,25,530,10,823
金沙鎮,何斗里,9,50,9,7,4,2,4,1,18,1,14,0,2,43,2,2,1,17,0,15,4,15,26,59,5,4,16,4,1,3,2,2,0,1,6,15,1,2,15,26,18,0,22,4,23,1,24,19,519,14,776
金沙鎮,西園里,6,15,4,22,4,5,1,2,0,1,16,0,0,8,0,0,2,15,2,21,1,12,6,33,3,4,6,1,1,4,7,0,0,0,5,21,0,1,2,13,21,1,5,21,10,3,27,28,360,7,568
金沙鎮,官嶼里,26,23,23,1,2,2,1,0,1,0,10,5,0,9,0,0,0,22,0,14,0,10,9,145,9,9,3,2,0,0,4,0,0,0,0,9,0,3,2,6,3,0,3,2,13,1,13,65,450,2,728
金沙鎮,浦山里,13,13,5,9,0,38,0,1,8,1,25,8,1,35,6,5,2,35,7,78,7,10,32,30,12,16,23,7,1,5,3,2,3,0,1,21,5,0,6,19,23,3,6,15,15,1,25,18,599,17,867
烈嶼鄉,上岐村,4,4,0,81,0,2,1,0,0,1,9,1,1,3,8,0,0,18,2,0,2,3,8,11,1,157,5,0,0,0,7,0,1,0,0,6,0,0,0,6,293,1,1,0,1,0,6,16,660,9,998
烈嶼鄉,上林村,0,4,1,18,0,1,2,1,0,0,9,0,0,1,116,0,0,4,0,0,0,2,2,4,0,55,0,0,4,0,2,0,1,0,0,2,0,0,0,2,83,0,1,0,0,0,2,2,319,7,516
烈嶼鄉,西口村,3,4,2,36,0,0,0,13,0,0,13,1,0,1,28,1,1,7,1,1,1,1,3,9,0,119,2,2,0,1,25,0,0,0,0,4,0,0,1,10,108,0,11,1,0,1,1,12,424,13,756
烈嶼鄉,林湖村,2,6,1,159,0,0,8,12,3,0,42,0,0,1,58,0,0,20,1,6,2,1,20,14,7,170,6,8,3,1,10,4,3,1,0,14,0,0,4,7,186,0,19,1,9,4,13,11,837,9,1161
烈嶼鄉,黃埔村,2,3,0,27,0,3,1,2,0,0,1,1,0,3,3,0,0,3,0,0,0,0,2,5,0,235,1,1,1,0,3,1,3,0,2,1,4,0,2,1,15,0,3,0,0,0,0,0,329,9,513
烏坵鄉,大坵村,0,1,0,5,0,0,1,0,0,0,0,2,62,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,5,0,0,1,92,3,118
烏坵鄉,小坵村,0,6,0,17,1,0,0,0,0,0,0,0,46,0,0,0,0,38,0,1,0,3,2,0,0,1,0,0,0,1,6,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,1,0,137,2,191
