金寧鄉選區︱無完整選舉資料，僅列出當選人名單及得票數。,1990年1月20日,✓,✓,✓,✓
4,,薛成吉*,許慧新*,楊忠益*,賴育千*,,,
,,中國國民黨,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金沙鎮,總計,358,308,276,236,-,-,-
