,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,
7,,陳錦偉*,黃子誠,吳金鏷,歐陽豪,王國代*,馬自壯,楊育菡*,周子傑*#,王秀玉*#,蔡水游*#,林長鴻,吳佩雯,張雲量*,,,
,,無,無,無,無,中國國民黨,中國國民黨,無,中國國民黨,中國國民黨,無,中國國民黨,無,無,有效票,無效票,選舉人數
金湖鎮,新市里,111,14,4,16,23,8,35,72,42,36,43,46,64,514,8,1188
金湖鎮,新市里,81,10,2,9,48,12,48,101,59,24,44,39,69,546,21,1219
金湖鎮,新市里,95,15,6,23,42,21,74,58,36,40,57,39,57,563,9,1415
金湖鎮,山外里,152,31,6,13,42,21,83,79,36,53,68,47,62,693,23,1902
金湖鎮,山外里,56,17,12,8,27,36,28,201,47,27,25,33,77,594,13,1407
金湖鎮,溪湖里,45,17,10,7,61,17,54,104,59,32,46,65,83,600,30,1535
金湖鎮,蓮庵里,62,11,2,6,83,30,73,87,57,84,32,53,83,663,11,1712
金湖鎮,料羅里,61,7,2,22,27,13,52,23,29,15,29,44,19,343,10,1044
金湖鎮,料羅里,93,30,1,12,29,25,43,38,37,27,28,38,31,432,5,1094
金湖鎮,新湖里,128,27,2,17,52,34,66,100,75,39,56,116,61,773,16,1840
金湖鎮,新湖里,73,6,1,19,62,29,39,62,55,50,53,62,63,574,14,1591
金湖鎮,新湖里,167,20,1,11,62,29,55,109,34,54,43,43,53,681,13,1674
金湖鎮,新湖里,76,21,3,7,61,27,74,60,60,53,38,59,83,622,15,1477
金湖鎮,新湖里,81,13,4,24,37,17,35,49,81,40,24,157,79,641,18,1390
金湖鎮,正義里,78,10,3,14,35,13,27,41,57,26,48,43,81,476,8,1258
金湖鎮,正義里,94,17,5,8,88,17,43,32,26,76,41,57,52,556,21,1392
金湖鎮,瓊林里,52,14,3,5,71,18,38,56,79,228,30,34,61,689,17,1652
金湖鎮,瓊林里,48,23,7,6,38,17,64,100,37,128,30,47,79,624,17,1600
金沙鎮,汶沙里,15,1,0,3,15,16,29,34,65,29,4,22,51,284,7,863
金沙鎮,汶沙里,18,2,0,2,30,26,32,29,34,35,7,33,104,352,12,974
金沙鎮,汶沙里,35,18,1,10,88,47,36,70,96,69,12,47,113,642,14,1498
金沙鎮,汶沙里,36,9,1,8,37,47,110,46,111,48,10,25,113,601,19,1607
金沙鎮,何斗里,33,1,0,5,37,56,47,22,20,79,1,39,68,408,10,957
金沙鎮,何斗里,30,4,0,2,50,97,28,9,23,54,3,19,94,413,13,1058
金沙鎮,浦山里,105,0,4,8,141,61,30,53,28,31,7,30,38,536,11,1202
金沙鎮,浦山里,35,2,0,1,89,26,61,40,44,25,3,16,48,390,12,1087
金沙鎮,西園里,41,4,2,10,38,57,116,56,32,70,0,19,102,547,22,1570
金沙鎮,官嶼里,35,1,2,2,29,36,188,33,20,28,2,10,34,420,12,1224
金沙鎮,官嶼里,29,1,2,0,17,30,54,12,39,47,7,12,55,305,15,949
金沙鎮,三山里,37,2,0,2,14,24,35,25,40,7,2,30,89,307,7,999
金沙鎮,三山里,47,2,0,4,36,27,66,25,34,31,2,29,52,355,7,893
金沙鎮,大洋里,54,7,4,9,58,32,49,39,132,20,9,49,59,521,14,1150
金沙鎮,光前里,39,10,3,6,69,40,45,86,50,50,5,22,62,487,17,1256
金沙鎮,光前里,33,15,5,5,64,29,63,34,78,40,3,40,43,452,16,1081
