ID,姓名,性別,出生年,出生地,照片檔名
117,翁明堆,男性,1955,福建省金門縣,
118,翁明惠,女性,1969,福建省金門縣,翁明惠.jpg
119,翁恆忠,男性,1962,福建省金門縣,
120,翁國得,男性,1949,福建省金門縣,
121,翁裕凱,男性,1992,新北市,翁裕凱.jpg
122,翁銘駿,男性,1983,福建省金門縣,翁銘駿.jpg
123,馬自壯,男性,1976,福建省金門縣,馬自壯.jpg
124,高丹華,女性,1961,福建省金門縣,高丹華.jpg
124,高丹樺,女性,1961,福建省金門縣,高丹樺.jpg
125,高春美,女性,1965,福建省金門縣,
126,高絃騰,男性,1952,高雄市,高絃騰.jpg
127,張中法,男性,1961,福建省金門縣,張中法.jpg
128,張天欽,男性,1954,臺灣省嘉義縣,
129,張光海,男性,1947,福建省金門縣,
130,張成爵,男性,1963,福建省金門縣,張成爵.jpg
131,張君玉,女性,1960,福建省金門縣,
132,張志凱,男性,1969,福建省金門縣,
133,張金溫,男性,1940,,
134,張貴富,男性,1958,福建省金門縣,張貴富.jpg
135,張雲量,男性,1972,福建省金門縣,張雲量.jpg
136,張雲德,男性,1953,福建省金門縣,張雲德.jpg
137,張慧玲,女性,1975,福建省金門縣,
138,張翰林,男性,1966,福建省金門縣,
139,梁國棟,男性,1956,福建省金門縣,
140,章玉蘭,女性,1958,福建省金門縣,
141,莊旭英,男性,1963,福建省金門縣,莊旭英.jpg
142,莊育民,男性,1970,福建省金門縣,
143,莊良時,男性,1957,福建省金門縣,
144,莊振源,男性,1960,福建省金門縣,
145,莊嘉銘,男性,1984,福建省金門縣,莊嘉銘.jpg
146,許乃權,男性,1956,福建省金門縣,許乃權.jpg
147,許大鴻,男性,1997,福建省金門縣,許大鴻.jpg
148,許水增,男性,1953,福建省金門縣,
149,許丕肯,男性,1965,福建省金門縣,許丕肯.jpg
150,許永鎮,男性,1948,福建省金門縣,
151,許玉昭,女性,1965,福建省金門縣,許玉昭.jpg
