,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,
7,,張雲德*,陳美雲,蔡其賀,周子傑*#,謝東龍*#,蔡春生*#,徐鴻,李應文*,蔡水游*#,陳文慶,陳玉珍*!,王再生#,陳志斌,,,
,,中國國民黨,無,無,中國國民黨,中國國民黨,中國國民黨,無,中國國民黨,中國國民黨,無,無,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金湖鎮,新市里,67,86,7,168,72,95,51,75,53,36,48,49,45,852,31,1938
金湖鎮,新市里,79,98,8,158,98,96,57,78,47,33,31,45,65,893,32,1946
金湖鎮,山外里,87,42,5,211,44,59,23,54,35,15,50,24,33,682,25,1642
金湖鎮,山外里,70,17,3,220,42,38,26,39,32,16,39,22,53,617,14,1381
金湖鎮,溪湖里,61,46,8,84,36,103,15,20,27,20,26,39,64,549,16,1243
金湖鎮,蓮庵里,36,36,12,59,125,88,21,24,52,16,38,24,49,580,33,1402
金湖鎮,料羅里,34,15,5,42,286,73,27,16,23,14,25,51,49,660,25,1613
金湖鎮,新湖里,76,67,14,102,111,115,41,86,36,59,77,40,74,898,16,2232
金湖鎮,新湖里,92,67,8,63,89,74,61,54,86,28,43,49,62,776,26,1839
金湖鎮,新湖里,106,55,8,89,110,88,41,77,68,38,41,46,213,980,36,2098
金湖鎮,正義里,48,43,11,121,148,118,226,26,59,26,41,25,51,943,36,2145
金湖鎮,瓊林里,38,21,28,69,47,38,9,25,233,12,25,19,15,579,14,1356
金湖鎮,瓊林里,44,49,25,69,31,65,30,40,141,9,23,27,21,574,31,1330
金沙鎮,汶沙里,167,26,8,47,44,61,11,73,53,39,26,114,54,723,18,1669
金沙鎮,汶沙里,107,24,6,43,47,63,17,85,39,76,26,45,90,668,15,1408
金沙鎮,汶沙里,110,23,2,45,57,63,19,76,32,30,19,43,49,568,27,1416
金沙鎮,何斗里,64,40,13,47,54,141,12,74,89,74,70,44,43,765,17,1720
金沙鎮,浦山里,26,25,5,51,47,137,30,26,32,11,78,15,16,499,21,1070
金沙鎮,浦山里,33,11,1,21,30,89,3,54,29,13,41,16,14,355,22,937
金沙鎮,西園里,54,16,3,38,63,98,17,57,46,45,38,28,34,537,15,1311
金沙鎮,官嶼里,49,26,4,29,53,44,12,237,44,46,61,34,15,654,35,1861
金沙鎮,三山里,95,52,8,44,34,72,23,123,34,41,49,51,43,669,27,1664
金沙鎮,大洋里,26,15,4,53,37,104,6,41,17,15,42,29,22,411,20,1010
金沙鎮,光前里,31,24,3,41,23,157,10,46,34,34,34,17,27,481,11,1030
金沙鎮,光前里,28,11,3,8,36,84,12,47,31,29,56,20,30,395,17,971
