,,1,2,3,,,
,,李炷烽,陳永財,陳水在*#,,,
,,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金城鎮,總計,2750,470,3485,6705,101,8852
金寧鄉,總計,1266,426,1843,3535,51,4770
金湖鎮,總計,1181,1385,2009,4575,100,6028
金沙鎮,總計,2032,188,1315,3535,40,4656
烈嶼鄉,總計,736,221,1021,1978,24,2701
烏坵鄉,總計,12,2,12,26,0,70
