,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,
,,合一行動聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,,,
,,合一行動聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,有效票,無效票,選舉人數
金湖鎮,新湖里,0,5,21,1,18,33,17,1,423,0,1,17,2,68,78,0,0,3,2,690,14,1672
金湖鎮,新湖里,0,2,25,1,9,19,13,0,379,2,0,6,5,63,55,0,0,0,1,580,15,1384
金湖鎮,新湖里,0,4,25,1,12,20,12,1,376,0,2,8,0,57,66,0,1,2,2,589,13,1357
金湖鎮,新湖里,2,1,19,1,11,29,13,0,353,2,0,11,6,63,74,0,1,1,0,587,20,1341
金湖鎮,正義里,0,3,11,1,4,27,12,1,307,0,2,11,1,41,42,1,0,0,0,464,7,1224
金湖鎮,正義里,1,5,10,3,11,17,16,1,360,0,1,7,2,34,45,2,1,0,2,518,28,1366
金湖鎮,瓊林里,1,3,17,1,6,25,20,0,438,2,1,6,1,28,51,1,0,3,0,604,14,1562
金湖鎮,瓊林里,1,4,11,0,6,20,27,1,441,2,1,7,2,33,43,0,1,1,0,601,16,1511
金沙鎮,汶沙里,0,3,14,3,4,14,10,2,284,2,1,5,1,26,41,0,1,0,1,412,12,1028
金沙鎮,汶沙里,0,7,7,2,3,12,8,1,259,1,2,7,0,30,32,0,0,1,1,373,16,982
金沙鎮,汶沙里,2,9,26,3,10,20,18,0,423,0,1,9,0,30,47,0,0,0,1,599,27,1475
金沙鎮,汶沙里,1,1,17,2,11,37,20,3,414,4,0,13,2,42,57,0,1,1,2,628,19,1640
金沙鎮,何斗里,4,4,8,1,2,14,12,0,263,0,1,5,0,18,24,0,0,0,0,356,21,968
金沙鎮,何斗里,0,0,8,3,6,10,9,0,264,0,0,7,1,20,31,1,3,1,2,366,16,1003
金沙鎮,浦山里,0,6,15,2,2,19,15,0,327,1,0,7,0,38,34,1,0,3,0,470,25,1195
金沙鎮,浦山里,2,2,11,4,4,17,14,0,282,0,3,5,0,32,26,0,0,0,0,402,12,1108
金沙鎮,西園里,1,4,12,0,7,15,19,0,391,0,1,4,0,28,35,1,0,1,0,519,16,1527
金沙鎮,官嶼里,1,0,13,1,8,13,9,1,329,0,1,2,3,19,26,0,0,2,2,430,9,1202
金沙鎮,官嶼里,0,2,9,0,8,18,5,1,239,0,1,0,1,15,25,0,0,2,2,328,20,956
金沙鎮,三山里,0,0,6,1,5,16,8,0,267,2,0,4,0,24,25,0,0,0,0,358,9,1039
金沙鎮,三山里,0,4,10,2,4,18,8,0,234,0,0,2,0,22,32,0,2,0,2,340,13,867
金沙鎮,大洋里,0,3,7,1,5,18,13,4,314,1,1,1,1,24,40,0,0,4,4,441,22,1119
金沙鎮,光前里,1,2,14,0,10,20,11,0,322,4,0,1,3,31,47,0,0,1,0,467,23,1186
金沙鎮,光前里,1,2,7,1,8,18,15,0,302,0,0,5,1,30,28,0,1,1,0,420,19,1041
烈嶼鄉,林湖村,1,4,20,3,8,21,27,1,448,3,0,11,0,38,31,0,0,1,0,617,16,1628
烈嶼鄉,林湖村,1,2,14,1,3,16,9,1,416,0,2,7,0,36,47,0,0,1,2,558,14,1680
烈嶼鄉,黃埔村,0,6,11,0,9,21,6,1,345,0,0,4,2,37,37,1,0,0,1,481,13,1588
烈嶼鄉,西口村,0,3,6,1,3,25,9,0,222,0,0,8,1,30,29,1,0,0,0,338,13,1267
烈嶼鄉,西口村,1,3,8,1,4,12,12,1,230,1,3,7,1,28,13,0,1,1,1,328,14,1097
烈嶼鄉,上林村,0,2,12,0,5,18,8,0,298,1,1,4,1,21,26,0,0,2,1,400,22,1388
烈嶼鄉,上岐村,1,3,5,6,6,9,13,0,339,0,0,4,1,42,27,1,0,1,0,458,6,1390
烈嶼鄉,上岐村,0,3,11,4,4,16,17,0,314,0,0,4,0,29,24,2,1,1,0,430,14,1382
烏坵鄉,大坵村,0,1,0,0,1,2,1,0,59,0,0,0,0,2,3,0,0,0,0,69,2,264
烏坵鄉,小坵村,0,0,0,0,0,1,1,0,32,0,1,2,0,3,3,0,0,0,0,43,0,277
