第9屆立法委員選舉（不分區）,2016年1月16日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,
,,民主進步黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,,,
,,民主進步黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,有效票,無效票,選舉人數
金沙鎮,何斗里,39,38,2,1,8,13,5,15,338,10,10,1,15,1,1,62,2,5,566,32,1819
金沙鎮,浦山里,28,32,0,1,2,7,1,9,189,2,10,0,8,0,3,62,0,0,354,23,1123
金沙鎮,浦山里,23,16,1,0,4,4,2,4,183,4,8,1,4,1,0,25,1,0,281,16,970
金沙鎮,西園里,30,31,0,1,4,7,3,9,255,4,12,0,7,0,0,45,1,1,410,17,1435
金沙鎮,官嶼里,35,46,1,0,7,8,1,9,387,17,7,1,8,0,5,45,2,1,580,27,2005
金沙鎮,三山里,47,47,2,1,5,6,9,11,341,1,17,0,8,1,0,41,0,2,539,13,1769
金沙鎮,大洋里,26,32,0,0,3,2,0,5,200,4,8,2,6,1,6,51,0,1,347,16,1066
金沙鎮,光前里,27,33,3,0,3,6,0,6,215,3,6,1,5,1,3,47,2,1,362,20,1089
金沙鎮,光前里,29,13,2,1,2,9,2,7,196,9,16,0,9,4,1,36,1,4,341,10,1004
烈嶼鄉,林湖村,32,36,1,0,1,7,3,8,254,0,7,0,8,0,2,108,0,4,471,21,1448
烈嶼鄉,林湖村,47,35,3,1,3,2,6,14,279,3,4,0,17,2,1,67,4,2,490,16,1737
烈嶼鄉,黃埔村,34,15,1,0,5,4,2,4,266,1,8,0,12,3,1,37,0,2,395,24,1439
烈嶼鄉,西口村,44,41,4,1,8,11,5,10,313,1,17,0,10,0,1,66,1,3,536,42,2240
烈嶼鄉,上林村,18,22,2,0,5,5,4,3,218,1,9,0,3,1,1,47,2,3,344,16,1296
烈嶼鄉,上岐村,54,46,3,0,8,9,3,21,446,5,12,1,27,0,3,138,2,8,786,28,2596
烏坵鄉,大坵村,5,3,0,0,1,3,0,0,32,0,2,0,1,0,0,1,0,0,48,2,242
烏坵鄉,小坵村,2,3,0,0,0,1,0,0,21,0,0,0,0,0,0,5,0,0,32,0,265
