,,1,2,3,,,
,,洪成發*,吳嘉將,洪鴻斌*,,,
,,中國國民黨,無,無,有效票,無效票,選舉人數
烈嶼鄉,林湖村,221,217,236,674,12,1562
烈嶼鄉,林湖村,206,164,260,630,7,1686
烈嶼鄉,黃埔村,495,55,120,670,8,1636
烈嶼鄉,西口村,166,100,126,392,15,1255
烈嶼鄉,西口村,154,59,110,323,10,1075
烈嶼鄉,上林村,134,125,169,428,16,1407
烈嶼鄉,上岐村,85,87,356,528,9,1390
烈嶼鄉,上岐村,68,193,242,503,10,1406
