,,1,2,3,4,,,
,,陳清寶,吳成典,陳允火*,楊肅元*,,,
,,中國國民黨,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金門縣,總計,4471,4364,5921,5139,19895,481,24618
,,,,,,,,
