,2014年11月29日,1,,,
,,楊耀芸*#,,,
,,無,有效票,無效票,選舉人數
金城鎮,南門里,623,623,95,1578
金城鎮,南門里,605,605,74,1567
金城鎮,南門里,792,792,74,1662
