,2022年11月26日,1,,,
,,許三進*#,,,
,,中國國民黨,有效票,無效票,選舉人數
金寧鄉,安美村,385,385,62,1180
金寧鄉,安美村,326,326,57,1003
金寧鄉,安美村,370,370,31,970
金寧鄉,安美村,412,412,31,1049
金寧鄉,安美村,335,335,40,882
