,2018年11月24日,1,2,3,4,5,,,
,,陳福林*,陳金德#,陳文慶,陳福氣,陳經養,,,
,,中國國民黨,無,無,無,無,有效票,無效票,選舉人數
金沙鎮,何斗里,307,288,4,176,68,843,26,1953
