,2018年11月24日,1,2,3,,,
,,翁明海*,翁水河#,翁品洋,,,
,,無,中國國民黨,無,有效票,無效票,選舉人數
金寧鄉,盤山村,336,391,305,1032,31,2375
金寧鄉,盤山村,421,342,400,1163,113,2830
