,2018年11月24日,1,2,3,,,
,,許績用,許維琛#,楊龍傳*,,,
,,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金寧鄉,榜林村,385,227,568,1180,37,2643
金寧鄉,榜林村,120,324,159,603,21,1571
