,2018年11月24日,1,2,3,,,
,,楊龍傳*#,周懋盛,許維琛,,,
,,無,無,無,有效票,無效票,選舉人數
金寧鄉,榜林村,473,137,77,687,31,1734
金寧鄉,榜林村,321,34,275,630,24,1776
金寧鄉,榜林村,308,111,159,578,30,1464
