,2022年11月26日,1,2,3,,,
,,倪振國,董倫智,辛文進*#,,,
,,無,無,中國國民黨,有效票,無效票,選舉人數
金城鎮,古城里,73,27,398,498,13,1301
金城鎮,古城里,98,41,320,459,23,1204
金城鎮,古城里,37,282,188,507,8,1435
