原始資料不足，無法顯示完整票數資訊。,2010年6月12日,1,2,3,,,
,,陳賜發,王少麒,李賢慨*#,,,
,,無,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金沙鎮,三山里,102,169,292,563,,
