,2018年11月24日,1,2,3,,,
,,薛成吉,許三進*,莊振興,,,
,,無,無,中國國民黨,有效票,無效票,選舉人數
金寧鄉,安美村,401,283,54,738,25,1680
金寧鄉,安美村,64,118,228,410,11,976
金寧鄉,安美村,241,416,98,755,39,1648
