,2018年11月24日,1,2,3,4,5,6,,,
,,陳贊書,陳錦章*,陳宗連,楊玉樹,陳宗住,陳秀嵐,,,
,,無,無,無,無,無,中國國民黨,有效票,無效票,選舉人數
金湖鎮,新湖里,32,233,57,193,61,94,670,29,1684
金湖鎮,新湖里,26,146,32,355,54,53,666,31,1688
金湖鎮,新湖里,118,277,9,62,43,45,554,16,1334
金湖鎮,新湖里,30,194,44,123,61,120,572,36,1332
金湖鎮,新湖里,9,103,107,131,162,116,628,22,1245
