,2018年11月24日,1,2,3,,,
,,陳永棋,盧志嶢#,顏士強*,,,
,,無,中國國民黨,無,有效票,無效票,選舉人數
金城鎮,賢庵里,88,403,463,954,24,2429
金城鎮,賢庵里,151,359,324,834,25,2006
