,2018年11月24日,1,2,3,4,5,6,,,
,,薛金萬,歐陽彥興,許清福,歐陽金中,戴德強*,薛祖堯,,,
,,中國國民黨,無,中國國民黨,無,無,無,有效票,無效票,選舉人數
金城鎮,珠沙里,221,77,92,121,45,27,583,8,1539
金城鎮,珠沙里,33,20,117,6,322,11,509,12,1231
