,2018年11月24日,1,2,3,4,,,
,,洪勇銓,陳文貴,許豐榮,蔡祥坤*#,,,
,,無,無,無,無,有效票,無效票,選舉人數
金城鎮,東門里,112,114,112,239,577,28,1349
金城鎮,東門里,84,142,170,398,794,33,1745
金城鎮,東門里,92,136,115,334,677,47,1658
