,2018年11月24日,1,2,,,
,,陸楊綉娟,蔡輝進*#,,,
,,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金寧鄉,安美村,268,648,916,40,2081
金寧鄉,安美村,395,294,689,20,1446
