原始資料不足，無法顯示完整票數資訊。,2010年6月12日,1,2,3,,,
,,蔡祥坤*#,楊俊偉,陳金浣,,,
,,中國國民黨,無,無,有效票,無效票,選舉人數
金城鎮,東門里,817,330,286,1433,,
