,2022年11月26日,1,2,3,,,
,,陳錦章*#,楊玉樹,張志祥,,,
,,中國國民黨,無,無,有效票,無效票,選舉人數
金湖鎮,新湖里,443,263,53,759,21,1820
金湖鎮,新湖里,262,253,53,568,20,1590
金湖鎮,新湖里,366,225,83,674,18,1669
金湖鎮,新湖里,347,221,41,609,27,1472
金湖鎮,新湖里,345,228,63,636,20,1388
