,2018年11月24日,1,2,3,,,
,,翁水河,翁品洋*,翁明海#,,,
,,無,中國國民黨,無,有效票,無效票,選舉人數
金寧鄉,盤山村,157,275,164,596,11,1410
金寧鄉,盤山村,156,334,174,664,13,1624
金寧鄉,盤山村,59,221,353,633,49,1370
金寧鄉,盤山村,74,220,197,491,13,1249
