,2022年11月26日,1,2,3,,,
,,鄭易岳*#,楊耀芸,許丕肯,,,
,,無,無,無,有效票,無效票,選舉人數
金城鎮,南門里,326,209,135,670,22,1785
金城鎮,南門里,283,170,104,557,21,1565
金城鎮,南門里,285,359,113,757,15,1815
