,2014年11月29日,1,2,3,,,
,,黃文成,翁麗治*#,陳文傑,,,
,,中國國民黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金沙鎮,光前里,170,227,82,479,13,1030
金沙鎮,光前里,119,146,137,402,9,965
