,2022年11月26日,1,2,3,4,,,
,,陳篤疊,陳慶來,張國財*,陳文傑,,,
,,無,無,中國國民黨,無,有效票,無效票,選舉人數
金沙鎮,光前里,28,203,140,117,488,15,1251
金沙鎮,光前里,19,45,183,205,452,15,1076
