,2018年11月24日,1,2,3,,,
,,李錫東,李成育,李開陣*,,,
,,無,無,無,有效票,無效票,選舉人數
金寧鄉,古寧村,62,192,340,594,17,1683
金寧鄉,古寧村,144,57,363,564,17,1489
